,username,text,date
10,tabulampot_online_indonesia,Durian TINGGI 2 M ready stok terbatas.Cukup pesan dari Rumah 🏡🏠🏠🏠 AJA .➡️ GARANSI PENGIRIMAN KESELURUHAN WILAYAH INDONESIA➡️BONUS PUPUK PELEBAT BUAH➡️DM/WA 0857-0225-578---#UUITE #HotmanParis #MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews#dukamakasar#jagajarakhindarikerumunan#jagaindonesia#jagakesehatan#dukaindonesia10h,2021-03-29T01:01:13.000Z
11,ngobrol.hukum,"Hapus UU ITE??Sobat Goku, UU ITE udah makan korban, ujaran kebencian, body shaming tidak jarang jadi modal untuk saling lapor pelanggaran UU ITE. Lalu apakah kita hapus saja atau kita perlu perbaiki karena kita tetap perlu pengaturan UU ITE, silahkan kasih comment ya sobat goku, jangan lupa follow juga agat tidak tertinggal update dari kami#ngobrolhukum #bijaksiber #internetbaik #hukum #diskusihukum #dslalawfirm #fhuaj #unikaatmajaya #polrisiber #kominfo #hukumbaik #uuite #revisiuuite21h",2021-03-28T14:30:52.000Z
12,knowlex.id,Kalo nggak salah bulan lalu ya ada berita #viral tentang yang m*sum di halte? 🙈🙈🙈#internet #internetnegatif #internetpositif #sosmed #pornografi #uuite #trademark #logo #getup #branding #marketing #brandingdesign #brandingjakarta #advertising #advertisingdesign #kekayaanintelektual #intellectualproperty #intellectualpropertylaw #hukum #hukumindonesia #konsultanhukum #mahasiswahukum #anakhukum #law #lawyer #lawyers #lawyersofinstagram #jakartalawyer #lawyerjakarta23h,2021-03-28T12:01:04.000Z
13,kendari.times,"Wali Kota Makassar Muh. Ramdhan Danny Pomanto menghimbau masyarakat khususnya netizen untuk berhenti menyebar foto ataupun video korban bom bunuh diri di depan Gereja Katedral, Makassar. Danny berpesan agar warga Makassar tetap tenang dan bersatu atas kejadian ini.""Kepada seluruh masyarakat, khsususnya masyarakat netizen di Makassar agar jangan memposting, gambar-gambar, video-video yang jusutru memperlemah kita,"" kata Danny dalam keterangannya saat di wawancara oleh Kompas Tv. Minggu (28/3/2021).Dia memastikan polisi tengah bekerja secara maksimal untuk mengusut bom bunuh diri yang terjadi pagi tadi.""Sekali lagi jangan memposting video maupun gambar-gambar yang justru melemahkan kita. Mari sama-sama kejadian ini justru membuat kita bersatu, membuat kita kuat dan maju, jangan menyerah dengan kejadian ini,"" ujarnya.Selain itu penyebaran konten kekerasan diatur dalam Undang-undang (UU) Nomor 19 Tahun 2016 tentang Informasi dan Transaksi Elektronik (ITE) pada pasal 29 dan pasal 45B. Bagi orang yang menyebarkan konten kekerasan baik itu berupa video atau foto bisa dianggap melanggar UU tersebut.#makassar #bom #terorisme #uuite1d",2021-03-28T05:55:44.000Z
14,forestdigest,"Akhir-akhir ini ada banyak peristiwa yang berkaitan dengan etika. Dalam pemanfaatan ruang hutan, misalnya, legalitas oleh investasi sesungguhnya tak mendapatkan legitimasi masyarakat. ⠀⠀Akibatnya, ada banyak tumpang tindih izin yang sama-sama legal. Hasil akhirnya, kita tahu, konsesi selalu dijaga oleh aparat keamanan. Seolah masyarakat adalah perusuhnya.⠀⠀Kenyataan tersebut menunjukkan bahwa etika yang berada di atas kebenaran ilmu pengetahuan telah merosot tajam. Alhasil pengelolaan sumber daya alam hampir selalu melahirkan konflik, memperbesar kesenjangan, serta merusak lingkungan hidup. ⠀⠀Jika sudah seperti itu, memperbaiki etika tak cukup hanya imbauan-imbauan, tapi saatnya melalui gerakan sosial.⠀⠀#lingkungan #sumberdayaalam #masyarakatadat #konsesi #konflik #investasi #hutan #etika #pendidikan #perguruantinggi #gerakansosial #hukum #kriminalisasi #UUITE1d",2021-03-28T05:20:42.000Z
15,hmipedia.id,"HMIPedia.id-Pengurus Besar Himpunan Mahasiswa Islam-Majelis Penyelamat Organisasi (HMI-MPO) menyesalkan revisi Undang-Undang (RUU) Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE) tidak masuk dalam Program Legislasi Nasional (Prolegnas) Prioritas 2021 yang disahkan oleh DPR RI dalam rapat Paripurna baru-baru ini.Wakil Sekretaris Jenderal (Wasekjen) Komisi Media, Komunikasi dan Informatika, Dedi Ermansyah menilai pemerintah dan DPR tidak serius untuk merevisi UU tersebut. Padahal wacana revisi UU ini sendiri datang dari Presiden Joko Widodo dan Menko Polhukam Mahfud MD.“Tentu sangat disayangkan revisi UU ITE ini tidak masuk dalam 33 RUU Prolegnas Prioritas 2021. Artinya pernyataan Presiden Jokowi dan Pak Mahfud beberapa waktu lalu hanya untuk meredam situasi politik di tengah gencarnya desakan masyarakat untuk merevisi UU itu,” kata Dedi Ermansyah kepada wartawan di Jakarta, Kamis (25/3/2021) lalu.Menurut dia, seandainya pemerintah serius mendorong revisi UU ITE, harusnya mengirimkan surat permohonan revisi ke DPR sehingga revisi UU ini dapat diwujudkan. Kemudian RUU ini menjadi inisiatif pemerintah dan masuk dalam Prolegnas Prioritas.“Apalagi di DPR fraksinya kan mayoritas pendukung pemerintah. Kalau ada surat dari pemerintah otomatis revisi UU ITE ini akan diprioritaskan DPR. Itu artinya revisi UU itu hanya lip service belaka. Yang kita sesalkan lagi pemerintah malah menyusun pedoman penerapan UU ITE dalam suatu tindak pidana,” tegas Dedi.“UU ITE ini sudah banyak memakan korban. Pihak-pihak yang kritik pemerintah lewat media sosial kan banyak itu yang ditangkap. Terbaru di Palopo kemarin seorang jurnalis yang menjadi korban UU ini. Jadi mestinya harus segera direvisi,” imbuh dia.Padahal, lanjut mahasiswa Pasca Sarjana Komunikasi Politik UMJ ini, dorongan publik untuk direvisinya UU ITE sangat kuat karena dianggap memuat sejumlah pasal-pasal karet dan kerap dipakai untuk membungkam kritikan dan menekan pihak yang tidak sejalan dengan pemerintah.#uuite#revisiuuite#hmimpo#hmipediadotid1d",2021-03-27T14:29:51.000Z
16,taufikbasari_official,"Gabung yuk di Seminar Nasional bersama Himpunan Mahasiswa Hukum Pidana FH Unila dengan tema, Polemik UU ITE: Penyempitan Ruang Sipil dan Kebebasan Demokrasi.Pada Senin 29 Maret 2021, pukul 08:00- Selesai.#seminarnasional #kampusunila #uuite #kekebasandemokrasi #fraksinasdem #taufikbasari #komisiiiidprri #lampung1d",2021-03-27T13:52:11.000Z
17,bettafishnoki,Salam Malam Minggunya minggu gajian 🤗Habis terang terbitlah gelap 😑#indonesia #art #tiktok #love #like #viral #follow #fyp #pap #style #dance #culture #malam #malamminggu #ghosting #uuite #ham #money #uang #famous #terkenal #artist #pansos #intelligence #versus #dumb #the #winner #is #age1d,2021-03-27T12:46:22.000Z
18,_nkri.hargamati_,POLISI VIRTUAL: ALAT UNTUK MEMBUNGKAM ATAU MENYEHATKAN DEMOKRASI?| Logika Ade Armando kehadiran polisi virtual mendatang banyak pro kontra. Salah satu yang kontra disebabkan karena polisi virtual dianggap dapat melukai kebebasan berekspresi. Bagaimana mana pendapat Ade Armando terkait polisi virtual? Saksikan selengkapnya di Logika Ade Armando hanya di Cokro TV@jokowi #Logika #AdeArmando #Demokrasi #PolisiVirtual #DuniaMaya #MediaSosial #UUITE #NetizenIndonesia #Terciduk #IndonesiaMaju2d,2021-03-27T09:09:08.000Z
19,shalida.siti,"#Repost @rockygerungofficial_#inrepostme @insaver.best——Pada setuju Gak Nih?Terkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE. GALMAU Penghasilan 350 - 1 Juta Perhari?Join Aja 👇@dropnshop_resmi#UUITE #HotmanParis#MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews2d",2021-03-27T05:47:10.000Z
20,rocky.gerungofficial,"••• Repost @rockygerungofficialTerkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE. GAL#UUITE #MahfudMD #HotmanParis2d",2021-03-27T04:01:30.000Z
21,rockygerungofficial,"°Setuju Ya...Terkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE. GAL#rockygerungofficial#rockygerung #beritaterkini #beritaharian #beritahot #news #jokowi #aniesbaswedan #gubernurDKI #DKIjakarta #sahabatanies #aniesbaswedan #sandiuno #prabowo #jokowi #ahok #ahy #indonesia #jktinfo #jakarta #pemprovdki #gabener #goodbener #anies #cnnindonesia #metrotv #detikcom #kompas #nettv #tvone#UUITE #HotmanParis2d",2021-03-27T03:08:10.000Z
22,stisipolcandradimuka,".Kebebasan menyampaikan pendapat melalui karya jurnalistik menemukan tantangan setelah UU ITE lahir. Undang-Undang ini dapat menjerat siapa saja, termasuk wartawan yang bertugas menjalankan profesinya. Hal ini tentu menjadi polemik. Lalu bagaimana seharusnya UU No 19 Tahun 2016 ini diterapkan?.Yuk! Ikuti Webinar Nasional Series #3 yang didukung oleh Magister Ilmu Komunikasi STISIPOL Candradimuka, Persatuan Wartawan Indonesia (PWI) Sumatera Selatan dan Program Studi Ilmu Komunikasi Universitas Sriwijaya.Webinar Nasional""Media Berita Online, Jurnalis dan UU Nomor 19 Tahun 2016 Tentang Informasi dan Transaksi Elektronik Sebuah Kontroversi?"".🧑‍💻 Narasumber:- Dr. Kun Wazis(Akademisi IAIN Jember)- Dr. Andries Lionardo(Akademisi FISIP UNSRI)- H. Firdaus Komar, S.Pd., M.Si(Ketua Persatuan Wartawan Indonesia (PWI) Sumatra Selatan)- M. Agung Dharmajaya (Ketua Komisi Hukum & Perundangan-undangan Dewan Pers).🧑‍💻 Moderator:Icuk M. Sakir, M.Si- Dosen Ilmu Komunikasi STISIPOL Candradimuka.📌 GRATIS & TERBUKA UNTUK UMUMHari : Selasa, 30 Maret 2021Pukul : 10.00 – 12.00 WIB.*Live on Zoom* (link diberikan setelah pendaftaran)*Live on Youtube Candradimuka TV*.📱 Link Pendaftaran:http://bit.ly/Webinar-Series-PWI-MIKOM3CP :  0811-7398220 (Virna).🍀 Apa yang didapat?- Pengetahuan Baru- Relasi- E-Certificate...@s2komunikasi.candradimuka@stisipolcandradimuka.#seminar#webinar#webinarnasional#webinarstisipolcandradimuka#webinarseries3#uuite#beritaonline#magisterilmukomunikasi#stisipolcandradimuka#pwisumsel#ilmukomunikasiunsri2d",2021-03-27T02:25:30.000Z
23,portalopini,"Reposted from @rockygerungofficial_ Pada setuju Gak Nih?Terkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE. GAL#UUITE #HotmanParis#MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews2d",2021-03-26T23:48:21.000Z
24,saktisenopati,"Pada setuju Gak Nih?Terkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE.👇#UUITE #HotmanParis#MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews2d",2021-03-26T23:07:27.000Z
25,herman_vista,#UUITE #StopHoax #Bermedsos2d,2021-03-26T22:21:37.000Z
26,herman_vista,#UUITE #StopHoax #Bermedsos2d,2021-03-26T22:21:19.000Z
27,herman_vista,#UUITE #StopHoax #Bermedsos2d,2021-03-26T22:21:03.000Z
28,herman_vista,#UUITE #StopHoax #Bermedsos2d,2021-03-26T22:20:45.000Z
29,herman_vista,#UUITE #StopHoax #Bermedsos2d,2021-03-26T22:20:32.000Z
30,om_bangetop,"#UUITE #BerMedsosSehat dan Beretika, Cegah Beredarnya Hoax2d",2021-03-26T22:17:34.000Z
31,om_bangetop,"#UUITE #BerMedsosSehat dan Beretika, Cegah Beredarnya Hoax2d",2021-03-26T22:17:10.000Z
32,om_bangetop,"#UUITE #BerMedsosSehat dan Beretika, Cegah Beredarnya Hoax2d",2021-03-26T22:16:51.000Z
33,om_bangetop,"#UUITE #BerMedsosSehat dan Beretika, Cegah Beredarnya Hoax2d",2021-03-26T22:16:35.000Z
34,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:12:06.000Z
35,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:11:37.000Z
36,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:11:12.000Z
37,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:10:45.000Z
38,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:10:22.000Z
39,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:09:54.000Z
40,intanpaulina_lol,#UUITE #BermedsosSehat2d,2021-03-26T22:09:24.000Z
41,infokyai,"Ingat selalu dalam beretika yai, 😊..Follow @infokyaicom Kapolri Jenderal Listyo Sigit Prabowo mengeluarkan surat edaran (SE) terkait penerapan UU Informasi dan Transaksi Elektronik (ITE)...Surat Edaran Nomor SE/2/II/2021 tentang Kesadaran Budaya Beretika untuk Mewujudkan Ruang Digital Indonesia yang Bersih, Sehat, dan Produktif itu diteken oleh Kapolri Sigit pada 19 Februari 2021...Ada 11 poin dalam SE tersebut, salah satunya disebutkan dalam poin I, bahwa tersangka UU ITE tidak akan ditahan, bila dia (tersangka) sudah meminta maaf...""Korban yang tetap ingin perkaranya diajukan ke pengadilan namun tersangkanya telah sadar dan meminta maaf, terhadap tersangka tidak dilakukan penahanan dan sebelum berkas diajukan ke JPU agar diberikan ruang untuk mediasi kembali.""Kata Kapolri Sigit dalam SE...Melalui SE Kapolri itu, Kapolri Jenderal Listyo Sigit Prabowo meminta seluruh anggota Polri berkomitmen menerapkan penegakan hukum yang memberikan rasa keadilan bagi masyarakat.(Ik)..🔽🔽🔽Support di:@infokyaicom@infokyaicom@infokyaicom..#infokyai #lampung #jakarta #uuite #hukuman #polri #polisi4w",2021-02-23T04:06:58.000Z
42,lpm_ukhuwah,"Kapolri Jenderal Listyo Sigit Prabowo menerbitkan surat edaran terkait penerapan UU Informasi dan Transaksi Elektronik (UU ITE). Salah satu isinya adalah soal penahanan tersangka kasus UU ITE.Surat Edaran Nomor SE/2/II/2021 tentang Kesadaran Budaya Beretika untuk Mewujudkan Ruang Digital Indonesia yang Bersih, Sehat, dan Produktif itu diteken Jenderal Sigit pada 19 Februari 2021. Terkait UU ITE, Jenderal Sigit menginstruksikan seluruh anggota Polri menerapkan penegakan hukum yang dapat memberikan rasa keadilan bagi masyarakat.""Bahwa dalam rangka penegakan hukum yang berkeadilan dimaksud, Polri senantiasa mengedepankan edukasi dan langkah persuasif sehingga dapat menghindari adanya dugaan kriminalisasi terhadap orang yang dilaporkan serta dapat menjamin ruang digital Indonesia agar tetap bersih, sehat, beretika, dan produktif,"" ungkap Jenderal Sigit.Design by : M. Reza Arya Pramoedya @mraryapSumber :https://news.detik.com/berita/d-5400815/se-kapolri-soal-uu-ite-tersangka-tak-ditahan-jika-minta-maaf_________________________Telusuri jugaFb : Redaksi Ukhuwah PalembangTwitter : ukhuwahnewsYouTube : LPM UkhuwahIg : lpm_ukhuwah__________________________#uuite #polri4w",2021-02-23T04:06:56.000Z
43,suararakyat22,Ini loh guys pidatonya..... simak !😁..Bencana karet#UUITE #pasalkaret #jokowi4w,2021-02-23T04:05:49.000Z
